G,iterations,optimized val,edges cut by config,optimize func of t1,regularization,filename,intersections
G_original,30,-8851.914616354357,60,-568.1637025217095,,data/t1_matrix_test_0,"(60, 60, 60, 60, 60)"
G_original,13,-384.38880467912304,60,-568.1637025217095,ridge,data/t1_matrix_test_1,"(60, 60, 60, 60, 60)"
G_original,17,-66.94284376451711,60,-568.1637025217095,bound_sigmoid,data/t1_matrix_test_2,"(60, 60, 60, 60, 60)"
G_original,5,-61.3410858145762,60,-568.1637025217095,bound_softmax,data/t1_matrix_test_3,"(60, 60, 60, 60, 60)"
G_sigmoid,0,-60.0,60,-192.0,,data/t1_matrix_test_4,"(60, 60, 60, 60, 60)"
G_sigmoid,0,-25.0,60,-192.0,ridge,data/t1_matrix_test_5,"(60, 60, 60, 60, 60)"
G_sigmoid,82,-148.73736913912148,150,-192.0,bound_sigmoid,data/t1_matrix_test_6,"(60, 30, 60, 60, 60)"
G_sigmoid,0,-59.999999986628566,60,-192.0,bound_softmax,data/t1_matrix_test_7,"(60, 60, 60, 60, 60)"
G_relu_sum,13,-1.0494584558619224e+292,152,-3232.0,,data/t1_matrix_test_8,"(32, 48, 60, 56, 56)"
G_relu_sum,2,-184241661.8897133,60,-3232.0,ridge,data/t1_matrix_test_9,"(60, 60, 60, 60, 60)"
G_relu_sum,17,-74.99976146796509,60,-3232.0,bound_sigmoid,data/t1_matrix_test_10,"(60, 60, 60, 60, 60)"
G_relu_sum,4,-68.06249999999997,60,-3232.0,bound_softmax,data/t1_matrix_test_11,"(60, 60, 60, 60, 60)"
G_relu_prod,21,-188.62574046387027,122,-192.0,,data/t1_matrix_test_12,"(48, 44, 56, 60, 60)"
G_relu_prod,16,1580.1717320221903,109,-192.0,ridge,data/t1_matrix_test_13,"(60, 60, 60, 58, 60)"
G_relu_prod,21,-191.99999788096864,30,-192.0,bound_sigmoid,data/t1_matrix_test_14,"(30, 30, 30, 30, 30)"
G_relu_prod,7,146566.0078125,120,-192.0,bound_softmax,data/t1_matrix_test_15,"(60, 60, 60, 60, 60)"
G_relu_prod_1000,14,1.5762566361321329e+18,134,-192.0,,data/t1_matrix_test_16,"(60, 54, 46, 54, 50)"
G_relu_prod_1000,14,1.5762566361321329e+18,134,-192.0,ridge,data/t1_matrix_test_17,"(60, 54, 46, 54, 50)"
G_relu_prod_1000,2,2.8634954240812584e+16,60,-192.0,bound_sigmoid,data/t1_matrix_test_18,"(60, 60, 60, 60, 60)"
G_relu_prod_1000,2,1.467580078125e+20,120,-192.0,bound_softmax,data/t1_matrix_test_19,"(60, 60, 60, 60, 60)"
