"(k,d)",d,G,reg,count,filename,intersections
"(3, 3)",3,G_test,,10,data_test/harness_small0,"(5, 6, 4)"
"(3, 3)",3,G_test,ridge,6,data_test/harness_small1,"(4, 4, 4)"
"(3, 3)",3,G_test,bound_sigmoid,8,data_test/harness_small2,"(4, 3, 4)"
"(3, 3)",3,G_test,bound_softmax,9,data_test/harness_small3,"(6, 4, 4)"
"(3, 3)",3,G_sigmoid,,9,data_test/harness_small4,"(3, 6, 4)"
"(3, 3)",3,G_sigmoid,ridge,7,data_test/harness_small5,"(5, 4, 0)"
"(3, 3)",3,G_sigmoid,bound_sigmoid,11,data_test/harness_small6,"(6, 4, 6)"
"(3, 3)",3,G_sigmoid,bound_softmax,9,data_test/harness_small7,"(4, 4, 4)"
"(3, 3)",3,G_relu_sum,,9,data_test/harness_small8,"(4, 6, 4)"
"(3, 3)",3,G_relu_sum,ridge,10,data_test/harness_small9,"(5, 4, 4)"
"(3, 3)",3,G_relu_sum,bound_sigmoid,7,data_test/harness_small10,"(4, 4, 4)"
"(3, 3)",3,G_relu_sum,bound_softmax,9,data_test/harness_small11,"(4, 4, 4)"
"(3, 3)",3,G_relu_prod,,10,data_test/harness_small12,"(6, 4, 5)"
"(3, 3)",3,G_relu_prod,ridge,9,data_test/harness_small13,"(5, 5, 4)"
"(3, 3)",3,G_relu_prod,bound_sigmoid,9,data_test/harness_small14,"(6, 3, 4)"
"(3, 3)",3,G_relu_prod,bound_softmax,9,data_test/harness_small15,"(4, 4, 6)"
"(3, 3)",3,G_relu_prod_1000,,10,data_test/harness_small16,"(4, 4, 6)"
"(3, 3)",3,G_relu_prod_1000,ridge,12,data_test/harness_small17,"(6, 4, 6)"
"(3, 3)",3,G_relu_prod_1000,bound_sigmoid,9,data_test/harness_small18,"(6, 4, 4)"
"(3, 3)",3,G_relu_prod_1000,bound_softmax,8,data_test/harness_small19,"(4, 6, 6)"
"(4, 4)",4,G_test,,28,data_test/harness_small20,"(8, 12, 12, 10)"
"(4, 4)",4,G_test,ridge,30,data_test/harness_small21,"(12, 12, 12, 12)"
"(4, 4)",4,G_test,bound_sigmoid,28,data_test/harness_small22,"(8, 12, 12, 10)"
"(4, 4)",4,G_test,bound_softmax,14,data_test/harness_small23,"(12, 12, 12, 12)"
"(4, 4)",4,G_sigmoid,,23,data_test/harness_small24,"(12, 12, 8, 8)"
"(4, 4)",4,G_sigmoid,ridge,30,data_test/harness_small25,"(8, 10, 8, 12)"
"(4, 4)",4,G_sigmoid,bound_sigmoid,27,data_test/harness_small26,"(12, 12, 12, 12)"
"(4, 4)",4,G_sigmoid,bound_softmax,18,data_test/harness_small27,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_sum,,23,data_test/harness_small28,"(10, 12, 8, 8)"
"(4, 4)",4,G_relu_sum,ridge,28,data_test/harness_small29,"(12, 8, 8, 8)"
"(4, 4)",4,G_relu_sum,bound_sigmoid,27,data_test/harness_small30,"(8, 12, 12, 12)"
"(4, 4)",4,G_relu_sum,bound_softmax,18,data_test/harness_small31,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_prod,,32,data_test/harness_small32,"(8, 8, 8, 8)"
"(4, 4)",4,G_relu_prod,ridge,29,data_test/harness_small33,"(10, 12, 10, 10)"
"(4, 4)",4,G_relu_prod,bound_sigmoid,26,data_test/harness_small34,"(12, 12, 7, 10)"
"(4, 4)",4,G_relu_prod,bound_softmax,24,data_test/harness_small35,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_prod_1000,,29,data_test/harness_small36,"(10, 10, 4, 9)"
"(4, 4)",4,G_relu_prod_1000,ridge,27,data_test/harness_small37,"(12, 12, 8, 12)"
"(4, 4)",4,G_relu_prod_1000,bound_sigmoid,28,data_test/harness_small38,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_prod_1000,bound_softmax,24,data_test/harness_small39,"(12, 12, 12, 12)"
"(5, 5)",5,G_test,,68,data_test/harness_small40,"(24, 24, 20, 20, 24)"
"(5, 5)",5,G_test,ridge,69,data_test/harness_small41,"(23, 27, 26, 20, 16)"
"(5, 5)",5,G_test,bound_sigmoid,68,data_test/harness_small42,"(27, 27, 23, 24, 24)"
"(5, 5)",5,G_test,bound_softmax,28,data_test/harness_small43,"(0, 0, 28, 0, 0)"
"(5, 5)",5,G_sigmoid,,65,data_test/harness_small44,"(24, 19, 23, 26, 22)"
"(5, 5)",5,G_sigmoid,ridge,65,data_test/harness_small45,"(20, 24, 25, 16, 25)"
"(5, 5)",5,G_sigmoid,bound_sigmoid,70,data_test/harness_small46,"(24, 24, 24, 24, 23)"
"(5, 5)",5,G_sigmoid,bound_softmax,50,data_test/harness_small47,"(24, 30, 24, 24, 24)"
"(5, 5)",5,G_relu_sum,,60,data_test/harness_small48,"(16, 16, 24, 24, 19)"
"(5, 5)",5,G_relu_sum,ridge,61,data_test/harness_small49,"(24, 24, 16, 24, 20)"
"(5, 5)",5,G_relu_sum,bound_sigmoid,71,data_test/harness_small50,"(24, 23, 24, 24, 23)"
"(5, 5)",5,G_relu_sum,bound_softmax,48,data_test/harness_small51,"(30, 24, 24, 24, 24)"
"(5, 5)",5,G_relu_prod,,69,data_test/harness_small52,"(24, 24, 20, 26, 11)"
"(5, 5)",5,G_relu_prod,ridge,62,data_test/harness_small53,"(8, 20, 24, 27, 16)"
"(5, 5)",5,G_relu_prod,bound_sigmoid,65,data_test/harness_small54,"(24, 24, 24, 26, 24)"
"(5, 5)",5,G_relu_prod,bound_softmax,48,data_test/harness_small55,"(24, 0, 24, 24, 30)"
"(5, 5)",5,G_relu_prod_1000,,70,data_test/harness_small56,"(25, 25, 25, 25, 19)"
"(5, 5)",5,G_relu_prod_1000,ridge,74,data_test/harness_small57,"(25, 24, 27, 24, 25)"
"(5, 5)",5,G_relu_prod_1000,bound_sigmoid,73,data_test/harness_small58,"(27, 26, 24, 29, 24)"
