,G,iterations,optimized val,optimized count,G(t1)
0,G_original,30,-8851.914616354357,tensor(60),"tensor(-568.1637, dtype=torch.float64)"
1,G_original,13,-384.38880467912304,tensor(60),"tensor(-305.1637, dtype=torch.float64)"
2,G_original,17,-66.94284376451711,tensor(60),"tensor(-31.8586, dtype=torch.float64)"
3,G_original,5,-61.3410858145762,tensor(30),"tensor(-62.4631, dtype=torch.float64)"
4,G_sigmoid,0,-60.0,tensor(60),"tensor(-192., dtype=torch.float64)"
5,G_sigmoid,0,-25.0,tensor(60),"tensor(71., dtype=torch.float64)"
6,G_sigmoid,82,-148.73736913912148,tensor(120),"tensor(-175.1427, dtype=torch.float64)"
7,G_sigmoid,0,-59.999999986628566,tensor(60),"tensor(-110.0000, dtype=torch.float64)"
8,G_relu_sum,13,-1.0494584558619224e+292,tensor(152),"tensor(-3232., dtype=torch.float64)"
9,G_relu_sum,2,-184241661.8897133,tensor(60),"tensor(-2969., dtype=torch.float64)"
10,G_relu_sum,17,-74.99976146796509,tensor(60),"tensor(-34.2996, dtype=torch.float64)"
11,G_relu_sum,4,-68.06249999999997,tensor(30),"tensor(-69.5708, dtype=torch.float64)"
