"(k,d)",G,reg,count
"(3, 3)",G_original,,tensor(0)
"(3, 3)",G_original,ridge,tensor(7)
"(3, 3)",G_original,bound_sigmoid,tensor(0)
"(3, 3)",G_original,bound_softmax,tensor(0)
"(3, 3)",G_sigmoid,,tensor(0)
"(3, 3)",G_sigmoid,ridge,tensor(0)
"(3, 3)",G_sigmoid,bound_sigmoid,tensor(6)
"(3, 3)",G_sigmoid,bound_softmax,tensor(11)
"(3, 3)",G_relu_sum,,tensor(0)
"(3, 3)",G_relu_sum,ridge,tensor(7)
"(3, 3)",G_relu_sum,bound_sigmoid,tensor(0)
"(3, 3)",G_relu_sum,bound_softmax,tensor(0)
"(4, 4)",G_original,,tensor(12)
"(4, 4)",G_original,ridge,tensor(12)
"(4, 4)",G_original,bound_sigmoid,tensor(12)
"(4, 4)",G_original,bound_softmax,tensor(4)
"(4, 4)",G_sigmoid,,tensor(12)
"(4, 4)",G_sigmoid,ridge,tensor(12)
"(4, 4)",G_sigmoid,bound_sigmoid,tensor(24)
"(4, 4)",G_sigmoid,bound_softmax,tensor(12)
"(4, 4)",G_relu_sum,,tensor(28)
"(4, 4)",G_relu_sum,ridge,tensor(12)
"(4, 4)",G_relu_sum,bound_sigmoid,tensor(12)
"(4, 4)",G_relu_sum,bound_softmax,tensor(4)
"(5, 5)",G_original,,tensor(0)
"(5, 5)",G_original,ridge,tensor(30)
"(5, 5)",G_original,bound_sigmoid,tensor(0)
"(5, 5)",G_original,bound_softmax,tensor(27)
"(5, 5)",G_sigmoid,,tensor(0)
"(5, 5)",G_sigmoid,ridge,tensor(0)
"(5, 5)",G_sigmoid,bound_sigmoid,tensor(50)
"(5, 5)",G_sigmoid,bound_softmax,tensor(70)
"(5, 5)",G_relu_sum,,tensor(0)
"(5, 5)",G_relu_sum,ridge,tensor(30)
"(5, 5)",G_relu_sum,bound_sigmoid,tensor(0)
"(5, 5)",G_relu_sum,bound_softmax,tensor(27)
"(5, 6)",G_original,,tensor(60)
"(5, 6)",G_original,ridge,tensor(60)
"(5, 6)",G_original,bound_sigmoid,tensor(60)
"(5, 6)",G_original,bound_softmax,tensor(30)
"(5, 6)",G_sigmoid,,tensor(60)
"(5, 6)",G_sigmoid,ridge,tensor(60)
"(5, 6)",G_sigmoid,bound_sigmoid,tensor(120)
"(5, 6)",G_sigmoid,bound_softmax,tensor(60)
"(5, 6)",G_relu_sum,,tensor(152)
"(5, 6)",G_relu_sum,ridge,tensor(60)
"(5, 6)",G_relu_sum,bound_sigmoid,tensor(60)
"(5, 6)",G_relu_sum,bound_softmax,tensor(30)
