G,iterations,optimized val,optimized count,G(t1),regularization
G_original,30,-8851.914616354357,60,-568.1637025217095,
G_original,13,-384.38880467912304,60,-305.1637025217095,ridge
G_original,17,-66.94284376451711,60,-31.858629747579705,bound_sigmoid
G_original,5,-61.3410858145762,30,-62.463080869956904,bound_softmax
G_sigmoid,0,-60.0,60,-192.0,
G_sigmoid,0,-25.0,60,71.0,ridge
G_sigmoid,82,-148.73736913912148,120,-175.1427204021878,bound_sigmoid
G_sigmoid,0,-59.999999986628566,60,-109.9999999716525,bound_softmax
G_relu_sum,13,-1.0494584558619224e+292,152,-3232.0,
G_relu_sum,2,-184241661.8897133,60,-2969.0,ridge
G_relu_sum,17,-74.99976146796509,60,-34.29958650363601,bound_sigmoid
G_relu_sum,4,-68.06249999999997,30,-69.57076566049169,bound_softmax
